county,city,state,model_year,make,model,type,cafv_eligibility,electric_utility
Pierce,Parkland,WA,2024,TESLA,CYBERTRUCK,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY
Okanogan,Winthrop,WA,2018,MITSUBISHI,OUTLANDER,PHEV,Not Eligible,"OKANOGAN COUNTY ELEC COOP, INC"
Pierce,Lake Tapps,WA,2024,TESLA,MODEL X,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Pierce,Graham,WA,2024,JEEP,WRANGLER,PHEV,Not Eligible,"BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||OHOP MUTUAL LIGHT COMPANY, INC|PENINSULA LIGHT COMPANY"
Benton,Richland,WA,2023,TESLA,MODEL S,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA)
Pacific,North Cove,WA,2023,TESLA,MODEL Y,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY
King,Redmond,WA,2022,TOYOTA,PRIUS PRIME,PHEV,Not Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Pierce,Lake Tapps,WA,2023,BMW,I4,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Pierce,University Place,WA,2020,CHEVROLET,BOLT EV,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Pierce,Tacoma,WA,2023,HYUNDAI,KONA ELECTRIC,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
Snohomish,Snohomish,WA,2023,HYUNDAI,TUCSON,PHEV,Eligible,PUGET SOUND ENERGY INC
Skagit,Mount Vernon,WA,2018,MITSUBISHI,OUTLANDER,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Mason,Shelton,WA,2018,TOYOTA,PRIUS PRIME,PHEV,Not Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY
Chelan,Wenatchee,WA,2023,TESLA,MODEL X,BEV,Unknown,PUD NO 1 OF CHELAN COUNTY
Skagit,Bow,WA,2015,FORD,FUSION,PHEV,Not Eligible,PUGET SOUND ENERGY INC
Whatcom,Bellingham,WA,2020,MITSUBISHI,OUTLANDER,PHEV,Not Eligible,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
Whatcom,Ferndale,WA,2013,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
King,North Bend,WA,2024,TOYOTA,BZ4X,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Skamania,Underwood,WA,2022,AUDI,E-TRON SPORTBACK,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF SKAMANIA CO
Benton,Richland,WA,2017,CHEVROLET,BOLT EV,BEV,Eligible,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA)
Lewis,Chehalis,WA,2015,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Whatcom,Point Roberts,WA,2023,TOYOTA,PRIUS PRIME,PHEV,Eligible,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
Chelan,Wenatchee,WA,2023,CHEVROLET,BOLT EUV,BEV,Unknown,PUD NO 1 OF CHELAN COUNTY
Pierce,Lake Tapps,WA,2021,CHEVROLET,BOLT EV,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Whatcom,Bellingham,WA,2024,MINI,HARDTOP,BEV,Unknown,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
King,Woodinville,WA,2022,VOLVO,XC90,PHEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Pierce,Sumner,WA,2021,TESLA,MODEL 3,BEV,Unknown,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Mason,Shelton,WA,2023,TESLA,MODEL 3,BEV,Unknown,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY
Okanogan,Twisp,WA,2023,RIVIAN,R1T,BEV,Unknown,"OKANOGAN COUNTY ELEC COOP, INC"
